NLA
06-09-12-20-23 BB: 29 Letter: K
02-03-09-10-22 BB: 01 Letter: K
01-07-09-18-35 BB: 20 Letter: K
02-08-10-15-31 BB: 07 Letter: K
02-06-08-11-20 BB: 30 Letter: K
02-08-15-18-35 BB: 13 Letter: K
05-09-19-23-33 BB: 11 Letter: K
11-21-25-30-35 BB: 27 Letter: K
05-06-08-22-25 BB: 04 Letter: K
03-04-10-21-32 BB: 14 Letter: K
11-24-32-35-36 BB: 20 Letter: K
02-23-25-32-34 BB: 31 Letter: K
08-14-16-25-35 BB: 21 Letter: K
07-10-18-19-20 BB: 32 Letter: K
07-09-12-27-31 BB: 04 Letter: K
01-17-19-27-36 BB: 12 Letter: K
01-12-22-25-28 BB: 16 Letter: K
14-15-26-29-31 BB: 07 Letter: K
04-13-16-29-34 BB: 09 Letter: K
03-11-13-16-17 BB: 12 Letter: K
04-16-25-29-32 BB: 20 Letter: K
14-21-23-30-34 BB: 10 Letter: K
09-10-24-34-36 BB: 06 Letter: K
04-14-17-26-33 BB: 18 Letter: K
17-27-28-32-33 BB: 16 Letter: K
14-20-25-28-31 BB: 26 Letter: K
07-17-23-27-34 BB: 20 Letter: K
02-03-08-11-24 BB: 06 Letter: K
09-10-26-32-36 BB: 29 Letter: K
10-18-27-28-29 BB: 20 Letter: K
07-08-09-31-33 BB: 17 Letter: K
02-08-09-25-29 BB: 15 Letter: K
06-09-13-27-36 BB: 14 Letter: K
19-21-27-29-36 BB: 08 Letter: K
09-13-18-19-28 BB: 16 Letter: K
02-09-24-31-35 BB: 16 Letter: K
03-19-22-24-30 BB: 01 Letter: K
02-04-06-18-28 BB: 36 Letter: K
34-31-35-03-21 BB: 20 Letter: K
01-04-20-22-30 BB: 32 Letter: K
04-07-08-22-27 BB: 34 Letter: K
04-10-12-15-16 BB: 18 Letter: K
01-05-08-33-34 BB: 14 Letter: K
01-13-14-26-29 BB: 07 Letter: K
15-17-18-19-28 BB: 20 Letter: K
03-06-20-32-33 BB: 22 Letter: K
05-10-14-34-36 BB: 17 Letter: K
01-15-20-27-29 BB: 24 Letter: K
02-19-23-25-30 BB: 26 Letter: K
28-30-31-34-35 BB: 32 Letter: K
03-06-18-25-31 BB: 09 Letter: K
04-06-07-16-26 BB: 19 Letter: K
20-22-29-32-34 BB: 19 Letter: K
14-16-19-25-29 BB: 22 Letter: K
04-05-09-21-34 BB: 18 Letter: K
06-12-16-26-36 BB: 08 Letter: K
04-11-23-34-35 BB: 33 Letter: K
01-13-15-19-27 BB: 29 Letter: K
04-09-22-24-30 BB: 07 Letter: K
13-15-23-34-36 BB: 01 Letter: K
01-06-08-15-35 BB: 18 Letter: K
01-02-10-23-30 BB: 34 Letter: K
04-06-16-17-18 BB: 22 Letter: K
03-13-31-34-35 BB: 29 Letter: K
03-10-12-26-31 BB: 35 Letter: K
03-20-23-25-28 BB: 30 Letter: K
01-03-15-27-35 BB: 30 Letter: K
02-06-17-23-36 BB: 25 Letter: K
01-18-19-30-35 BB: 06 Letter: K
03-06-11-14-24 BB: 23 Letter: K
01-09-12-23-27 BB: 24 Letter: K
02-06-14-19-29 BB: 22 Letter: K
04-15-18-27-34 BB: 26 Letter: K
03-13-30-31-34 BB: 16 Letter: K
02-03-10-19-21 BB: 17 Letter: K
01-05-11-15-30 BB: 29 Letter: K
08-10-25-30-32 BB: 21 Letter: K
07-17-23-25-31 BB: 03 Letter: K
03-09-17-28-32 BB: 26 Letter: K
06-13-22-26-33 BB: 09 Letter: K
02-06-26-28-29 BB: 03 Letter: K
12-13-18-24-35 BB: 05 Letter: K
04-14-20-24-28 BB: 03 Letter: K
04-23-28-30-36 BB: 07 Letter: K
01-02-18-24-35 BB: 15 Letter: K
08-11-22-27-35 BB: 28 Letter: K
11-24-27-29-35 BB: 23 Letter: K
13-18-19-24-28 BB: 21 Letter: K
04-10-16-22-32 BB: 36 Letter: K
03-06-24-29-30 BB: 23 Letter: K
03-04-05-06-07 BB: 36 Letter: K
03-19-23-26-29 BB: 33 Letter: K
07-12-16-21-32 BB: 36 Letter: K
06-16-17-20-31 BB: 33 Letter: K
10-31-33-34-36 BB: 14 Letter: K
17-25-26-28-33 BB: 23 Letter: K
10-20-28-32-35 BB: 17 Letter: K
08-11-17-22-30 BB: 09 Letter: K
06-19-21-24-27 BB: 28 Letter: K
19-24-27-32-34 BB: 13 Letter: K
06-09-12-22-33 BB: 31 Letter: K
02-16-27-30-34 BB: 14 Letter: K
05-17-25-30-33 BB: 24 Letter: K
04-12-16-25-27 BB: 21 Letter: K
02-03-17-30-32-F-BB-33 
